# q1273-redescent predictor H64 v1
# source=093d85d64de87aa5006a94868172f642daacf136
# target_ops_sha256=ee6448dbb23aa877123733724b109266e584f1ba14abf5c38b43b9ab6aa26cd1
index	nonce
0	444000000000
1	444000000001
2	444000000002
3	444000000003
4	444000000004
5	444000000005
6	444000000006
7	444000000007
8	444000000008
9	444000000009
10	444000000010
11	444000000011
12	444000000012
13	444000000013
14	444000000014
15	444000000015
16	444000000016
17	444000000017
18	444000000018
19	444000000019
20	444000000020
21	444000000021
22	444000000022
23	444000000023
24	444000000024
25	444000000025
26	444000000026
27	444000000027
28	444000000028
29	444000000029
30	444000000030
31	444000000031
32	444000000032
33	444000000033
34	444000000034
35	444000000035
36	444000000036
37	444000000037
38	444000000038
39	444000000039
40	444000000040
41	444000000041
42	444000000042
43	444000000043
44	444000000044
45	444000000045
46	444000000046
47	444000000047
48	444000000048
49	444000000049
50	444000000050
51	444000000051
52	444000000052
53	444000000053
54	444000000054
55	444000000055
56	444000000056
57	444000000057
58	444000000058
59	444000000059
60	444000000060
61	444000000061
62	444000000062
63	444000000063
